metric,type
facial_metrics_ALS-PROP_jJC_abs_max,facial_metrics
facial_metrics_ALS-PROP_jJC_abs_min,facial_metrics
facial_metrics_ALS-PROP_jJC_avg,facial_metrics
facial_metrics_ALS-PROP_jJC_max,facial_metrics
facial_metrics_ALS-PROP_jJC_min,facial_metrics
facial_metrics_ALS-PROP_jLL_abs_avg,facial_metrics
facial_metrics_ALS-PROP_jLL_abs_max,facial_metrics
facial_metrics_ALS-PROP_jLL_abs_min,facial_metrics
facial_metrics_ALS-PROP_jLL_avg,facial_metrics
facial_metrics_ALS-PROP_jLL_max,facial_metrics
facial_metrics_ALS-PROP_jLL_min,facial_metrics
facial_metrics_ALS-PROP_normalization_distance_0,facial_metrics
facial_metrics_ALS-PROP_normalization_distance_1,facial_metrics
facial_metrics_ALS-PROP_normalization_distance_2,facial_metrics
facial_metrics_ALS-PROP_normalization_distance_3,facial_metrics
facial_metrics_ALS-PROP_normalization_distance_4,facial_metrics
facial_metrics_ALS-PROP_normalization_unit_0,facial_metrics
facial_metrics_ALS-PROP_normalization_unit_1,facial_metrics
facial_metrics_ALS-PROP_normalization_unit_2,facial_metrics
facial_metrics_ALS-PROP_normalization_unit_3,facial_metrics
facial_metrics_ALS-PROP_normalization_unit_4,facial_metrics
facial_metrics_ALS-PROP_normalized,facial_metrics
facial_metrics_ALS-PROP_open_avg,facial_metrics
facial_metrics_ALS-PROP_open_max,facial_metrics
facial_metrics_ALS-PROP_open_min,facial_metrics
facial_metrics_ALS-PROP_vJC_abs_avg,facial_metrics
facial_metrics_ALS-PROP_vJC_abs_max,facial_metrics
facial_metrics_ALS-PROP_vJC_abs_min,facial_metrics
facial_metrics_ALS-PROP_vJC_avg,facial_metrics
facial_metrics_ALS-PROP_vJC_max,facial_metrics
facial_metrics_ALS-PROP_vJC_min,facial_metrics
facial_metrics_ALS-PROP_vLL_abs_avg,facial_metrics
facial_metrics_ALS-PROP_vLL_abs_max,facial_metrics
facial_metrics_ALS-PROP_vLL_abs_min,facial_metrics
facial_metrics_ALS-PROP_vLL_avg,facial_metrics
facial_metrics_ALS-PROP_vLL_max,facial_metrics
facial_metrics_ALS-PROP_vLL_min,facial_metrics
facial_metrics_ALS-PROP_va_identifier_0,facial_metrics
facial_metrics_ALS-PROP_va_identifier_1,facial_metrics
facial_metrics_ALS-PROP_va_identifier_2,facial_metrics
facial_metrics_ALS-PROP_va_identifier_3,facial_metrics
facial_metrics_ALS-PROP_va_identifier_4,facial_metrics
facial_metrics_ALS-PROP_width_avg,facial_metrics
facial_metrics_ALS-PROP_width_max,facial_metrics
facial_metrics_ALS-PROP_width_min,facial_metrics
facial_metrics_AcousticVowelSpace_ICD_mm,facial_metrics
facial_metrics_AcousticVowelSpace_ICD_px,facial_metrics
facial_metrics_AcousticVowelSpace_ID_mm,facial_metrics
facial_metrics_AcousticVowelSpace_ID_px,facial_metrics
facial_metrics_AcousticVowelSpace_JC_path_avg,facial_metrics
facial_metrics_AcousticVowelSpace_JC_path_max,facial_metrics
facial_metrics_AcousticVowelSpace_LL_path_avg,facial_metrics
facial_metrics_AcousticVowelSpace_LL_path_max,facial_metrics
facial_metrics_AcousticVowelSpace_S_L_avg,facial_metrics
facial_metrics_AcousticVowelSpace_S_L_max,facial_metrics
facial_metrics_AcousticVowelSpace_S_R_avg,facial_metrics
facial_metrics_AcousticVowelSpace_S_R_max,facial_metrics
facial_metrics_AcousticVowelSpace_S_avg,facial_metrics
facial_metrics_AcousticVowelSpace_S_max,facial_metrics
facial_metrics_AcousticVowelSpace_S_ratio_avg,facial_metrics
facial_metrics_AcousticVowelSpace_Utterance_dur,facial_metrics
facial_metrics_AcousticVowelSpace_aJC_abs_avg,facial_metrics
facial_metrics_AcousticVowelSpace_aJC_abs_max,facial_metrics
facial_metrics_AcousticVowelSpace_aJC_abs_min,facial_metrics
facial_metrics_AcousticVowelSpace_aJC_avg,facial_metrics
facial_metrics_AcousticVowelSpace_aJC_max,facial_metrics
facial_metrics_AcousticVowelSpace_aJC_min,facial_metrics
facial_metrics_AcousticVowelSpace_aLL_abs_avg,facial_metrics
facial_metrics_AcousticVowelSpace_aLL_abs_max,facial_metrics
facial_metrics_AcousticVowelSpace_aLL_abs_min,facial_metrics
facial_metrics_AcousticVowelSpace_aLL_avg,facial_metrics
facial_metrics_AcousticVowelSpace_aLL_max,facial_metrics
facial_metrics_AcousticVowelSpace_aLL_min,facial_metrics
facial_metrics_AcousticVowelSpace_eye_blinks,facial_metrics
facial_metrics_AcousticVowelSpace_eye_blinks_left,facial_metrics
facial_metrics_AcousticVowelSpace_eye_blinks_right,facial_metrics
facial_metrics_AcousticVowelSpace_eye_open_avg,facial_metrics
facial_metrics_AcousticVowelSpace_eye_open_left_avg,facial_metrics
facial_metrics_AcousticVowelSpace_eye_open_left_max,facial_metrics
facial_metrics_AcousticVowelSpace_eye_open_max,facial_metrics
facial_metrics_AcousticVowelSpace_eye_open_right_avg,facial_metrics
facial_metrics_AcousticVowelSpace_eye_open_right_max,facial_metrics
facial_metrics_AcousticVowelSpace_eyebrow_vpos_icd_avg,facial_metrics
facial_metrics_AcousticVowelSpace_eyebrow_vpos_icd_left_avg,facial_metrics
facial_metrics_AcousticVowelSpace_eyebrow_vpos_icd_left_max,facial_metrics
facial_metrics_AcousticVowelSpace_eyebrow_vpos_icd_max,facial_metrics
facial_metrics_AcousticVowelSpace_eyebrow_vpos_icd_right_avg,facial_metrics
facial_metrics_AcousticVowelSpace_eyebrow_vpos_icd_right_max,facial_metrics
facial_metrics_AcousticVowelSpace_eyebrow_vpos_nt_avg,facial_metrics
facial_metrics_AcousticVowelSpace_eyebrow_vpos_nt_left_avg,facial_metrics
facial_metrics_AcousticVowelSpace_eyebrow_vpos_nt_left_max,facial_metrics
facial_metrics_AcousticVowelSpace_eyebrow_vpos_nt_max,facial_metrics
facial_metrics_AcousticVowelSpace_eyebrow_vpos_nt_right_avg,facial_metrics
facial_metrics_AcousticVowelSpace_eyebrow_vpos_nt_right_max,facial_metrics
facial_metrics_AcousticVowelSpace_head_tilt_rotation_avg,facial_metrics
facial_metrics_AcousticVowelSpace_head_tilt_rotation_max,facial_metrics
facial_metrics_AcousticVowelSpace_head_tilt_rotation_min,facial_metrics
facial_metrics_AcousticVowelSpace_head_tilt_translation_avg,facial_metrics
facial_metrics_AcousticVowelSpace_head_tilt_translation_max,facial_metrics
facial_metrics_AcousticVowelSpace_head_tilt_translation_min,facial_metrics
facial_metrics_AcousticVowelSpace_jJC_abs_avg,facial_metrics
facial_metrics_AcousticVowelSpace_jJC_abs_max,facial_metrics
facial_metrics_AcousticVowelSpace_jJC_abs_min,facial_metrics
facial_metrics_AcousticVowelSpace_jJC_avg,facial_metrics
facial_metrics_AcousticVowelSpace_jJC_max,facial_metrics
facial_metrics_AcousticVowelSpace_jJC_min,facial_metrics
facial_metrics_AcousticVowelSpace_jLL_abs_avg,facial_metrics
facial_metrics_AcousticVowelSpace_jLL_abs_max,facial_metrics
facial_metrics_AcousticVowelSpace_jLL_abs_min,facial_metrics
facial_metrics_AcousticVowelSpace_jLL_avg,facial_metrics
facial_metrics_AcousticVowelSpace_jLL_max,facial_metrics
facial_metrics_AcousticVowelSpace_jLL_min,facial_metrics
facial_metrics_AcousticVowelSpace_normalization_distance_0,facial_metrics
facial_metrics_AcousticVowelSpace_normalization_unit_0,facial_metrics
facial_metrics_AcousticVowelSpace_normalized,facial_metrics
facial_metrics_AcousticVowelSpace_open_avg,facial_metrics
facial_metrics_AcousticVowelSpace_open_max,facial_metrics
facial_metrics_AcousticVowelSpace_open_min,facial_metrics
facial_metrics_AcousticVowelSpace_source_0,facial_metrics
facial_metrics_AcousticVowelSpace_vJC_abs_avg,facial_metrics
facial_metrics_AcousticVowelSpace_vJC_abs_max,facial_metrics
facial_metrics_AcousticVowelSpace_vJC_abs_min,facial_metrics
facial_metrics_AcousticVowelSpace_vJC_avg,facial_metrics
facial_metrics_AcousticVowelSpace_vJC_max,facial_metrics
facial_metrics_AcousticVowelSpace_vJC_min,facial_metrics
facial_metrics_AcousticVowelSpace_vLL_abs_avg,facial_metrics
facial_metrics_AcousticVowelSpace_vLL_abs_max,facial_metrics
facial_metrics_AcousticVowelSpace_vLL_abs_min,facial_metrics
facial_metrics_AcousticVowelSpace_vLL_avg,facial_metrics
facial_metrics_AcousticVowelSpace_vLL_max,facial_metrics
facial_metrics_AcousticVowelSpace_vLL_min,facial_metrics
facial_metrics_AcousticVowelSpace_va_identifier_0,facial_metrics
facial_metrics_AcousticVowelSpace_width_avg,facial_metrics
facial_metrics_AcousticVowelSpace_width_max,facial_metrics
facial_metrics_AcousticVowelSpace_width_min,facial_metrics
facial_metrics_CountingOnOneBreath_ICD_mm,facial_metrics
facial_metrics_CountingOnOneBreath_ICD_px,facial_metrics
facial_metrics_CountingOnOneBreath_ID_mm,facial_metrics
facial_metrics_CountingOnOneBreath_ID_px,facial_metrics
facial_metrics_CountingOnOneBreath_JC_path_avg,facial_metrics
facial_metrics_CountingOnOneBreath_JC_path_max,facial_metrics
facial_metrics_CountingOnOneBreath_LL_path_avg,facial_metrics
facial_metrics_CountingOnOneBreath_LL_path_max,facial_metrics
